acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,totalpay,county,PctUnempl,MedIncome,IncomePctStateAvg,PctPoverty,Pct_ltHS,Pct_HS,Pct_SomeCollege,Pct_BachPlus,Pct_AnyDebtCollections,MedianDebtCollections,Pct_AutoLoan,Pct_AutoLoanCollections,Pct_CCLoanCollections,Pct_EduLoan,MedianEduLoan,Pct_EduLoanCollections,MedianMedDebt,Pct_MedDebtCollections,Pct_NoHealthIns,percentPay
1592,FL,34217,Chase,1502,02014024,2,0.2605,-1.34,140,61,86,4,69,12081,2.9,67929,107.7,9.9,9.74082771,29.07547081,28.97791115,32.20579033,26.01127,2192.5,31.95406,2.58281,3.29101,11.26489,20935,8.1064,1212,15.21724,11.75688,4.593874834
1593,TX,75240,Wells,2804,10011729,10,0.3987,-0.92,131,21,13,1,113,48113,3.7,63549,94.9,14.4,19.27701005,22.59537298,25.17173246,32.9558845,40.74712,1773,26.5275,7.21764,4.45836,14.69989,19302,11.01283,789,19.31871,22.04706,4.029957204
1594,PA,19602,Discover,1600,03013305,3,0.1954,-1.63,129,98,217,6,1255,42011,4.3,68693,99.7,12.9,12.45221003,36.54316913,25.11517727,25.88944357,27.61452,1951,32.35632,2.85598,3.4749,18.07719,21350,8.27674,937,16.94161,6.42026,78.4375
1595,MO,64138,Wells,6443,02014025,2,0.1683,-1.78,102,92,15,7,100,29095,2.9,63282,102.4,13.1,8.633831902,28.0625761,30.9065143,32.3970777,34.31435,1746,27.57516,5.92593,4.25796,18.57001,22205.5,8.02139,776,19.34639,12.07888,1.552072016
1596,OH,44515,Discover,1133,04013098,4,0.4372,-0.83,123,73,110,7,595,39099,4.8,50216,80.6,19.3,8.566787974,37.5247295,29.05808075,24.85040178,29.84279,1506.5,34.31921,3.94055,4.00267,17.3328,21208,8.60876,600,15.42766,4.38522,52.51544572
1597,NM,87327,Bank_Of_Am,1629,06012667,6,0.9628,-0.04,87,62,157,3,550,35031,5.7,40149,73.9,30.3,20.87805736,36.32104522,30.59123702,12.20966039,47.38234,2226,40.98361,16,6.14693,13.69646,15059,12.35521,526,12.10999,19.82575,33.76304481
1598,NC,27105,Wells,2485,02014370,2,0.1619,-1.82,109,13,61,10,90,37067,3.7,60228,97.1,14.3,10.73154898,25.10715515,29.67806526,34.48323061,34.17166,1330,28.99823,5.38443,4.56761,16.79467,23589,9.34673,540.5,21.2845,10.69078,3.621730382
1599,CA,94587,Wells,1171,01016165,1,0.9470,-0.05,96,2,68,2,175,06001,3.3,108971,128.5,9.4,10.99556649,16.65392093,22.70746308,49.6430495,14.8565,1866,20.97298,2.93913,2.00185,10.51324,21097,6.57943,750,5.58146,4.22155,14.94449189
1600,TX,75002,Discover,3974,02014636,2,0.2171,-1.53,134,32,15,4,636,48085,3.2,102119,152.5,6.6,6.102487371,14.69817881,25.76403229,53.43530153,22.93835,1866,32.76946,3.2479,2.3312,15.66387,22455,6.06592,718,12.01428,9.27706,16.00402617
1601,MA,02302,Discover,1973,01016377,1,0.9445,-0.06,129,94,77,5,170,25021,3.3,114658,128,6.9,5.811546938,18.08611175,20.5637532,55.53858811,12.32729,1559,28.22971,1.31309,2.02265,18.70898,24033,3.36949,359.5,3.87737,2.31408,8.616320324
1602,MA,01952,Discover,951,03013298,3,0.5472,-0.6,123,27,124,5,600,25009,3.9,87145,97.3,9.6,10.25775212,24.37901761,24.17433052,41.18889974,17.60122,1683.5,30.8403,2.22576,2.87025,17.39235,20620.5,5.58891,420,3.81186,2.48519,63.09148265
1603,HI,96792,Discover,900,01015453,1,0.0089,-4.72,121,10,104,1,39,15003,3.5,90176,105.4,10,7.252190302,25.58464638,30.93687743,36.22628588,15.49696,1867.5,24.20367,2.84807,2.28585,11.67063,19270.5,6.51189,333,4.98282,3.77888,4.333333333
1604,AR,72202,Discover,5816,10011804,10,0.6123,-0.49,141,79,13,1,50,05119,3.5,53597,101.9,17.6,8.522869929,25.67531643,29.45804841,36.34376523,35.41185,1849,31.71996,7.32345,5.45253,20.92337,23562,9.87043,345,11.53018,9.42182,0.859697387
1605,IN,47804,Discover,10707,09012003,9,0.1486,-1.91,122,37,36,8,100,18167,3.5,48421,77.2,20.4,10.36192581,33.56938244,30.99562316,25.07306859,34.21053,1512,28.79257,5.70248,5.00596,16.43963,16485,9.22787,666,18.79257,6.78589,0.933968432
1606,TN,37190,Discover,1744,03013412,3,0.2242,-1.5,130,56,157,1,580,47015,3,53093,88.9,14.9,15.47851563,44.61914063,24.90234375,15,35.34483,1743,30.17241,4.37158,3.2,10.12931,16892.19333,9.771172267,846,21.76724,11.27963,33.25688073
1607,PA,17028,Bank_Of_Am,931,01019530,1,0.7588,-0.28,110,80,101,3,270,42043,4,66121,95.9,11.8,9.086666024,32.87708066,25.77912162,32.2571317,29.42368,1733.5,33.77983,3.3065,4.05949,17.76227,20988.5,9.56907,624,15.51103,5.24376,29.00107411
1608,WV,26241,Bank_Of_Am,2495,01015937,1,0.9030,-0.1,99,53,1,1,30,54083,4.7,44451,87,17.6,11.50670293,51.14629881,20.08937245,17.2576258,37.15909,1570,34.09091,3.31633,4.41176,13.40909,17594,9.32203,442,26.70455,7.68998,1.20240481
1609,SC,29115,Wells,3322,02014631,2,0.2459,-1.4,134,94,46,4,850,45075,5,39832,67,26.5,15.68402977,31.66987563,33.60566165,19.04043295,52.65306,1955,27.90352,10.46931,8.20106,18.21892,22543,13.44195,1010.5,27.30983,12.50394,25.58699579
1610,FL,33183,Discover,2510,04013264,4,0.0427,-3.15,111,41,100,1,360,12086,2.6,58905,93.4,15.2,17.51028211,26.42735497,24.31392186,31.74844106,27.22036,2392,29.11401,3.74676,4.33116,12.18676,19970.5,8.23955,783,9.36833,13.94156,14.34262948
1611,CA,95407,Bank_Of_Am,5972,01018115,1,0.3800,-0.97,83,13,71,5,170,06097,3.1,92999,109.6,9.1,10.83449059,18.31362482,33.72273422,37.12915036,15.64706,1339,26.00619,1.99837,1.83511,7.98762,19465,5.42636,541,7.19505,6.17546,2.846617549
1612,OR,97224,Discover,7413,04923557,4,0.7466,-0.29,141,4,64,5,825,41067,3.5,91899,128.6,8.6,7.005919336,17.29844974,30.13682718,45.55880374,13.27255,1668,26.79078,1.87456,1.88871,16.82682,20984.5,6.26217,613,4.19852,4.89096,11.12909753
1613,LA,70538,Discover,1615,03013506,3,0.9504,-0.05,101,5,36,1,69,22101,4.3,42757,82.1,22.9,18.93178367,46.53077911,22.37472258,12.16271464,43.55469,1856,28.58073,5.41455,4.64481,11.13281,12149,9.35673,877,23.11198,5.7055,4.27244582
1614,CA,90241,Discover,2548,03013517,3,0.5404,-0.62,137,35,48,5,315,06037,4.9,77356,91.2,14.1,19.95716305,20.39096448,25.60750331,34.04436916,22.26986,1860.5,25.77181,3.16442,2.94676,12.15225,19053,7.82106,743,6.99388,8.96509,12.36263736
1615,MA,01086,Discover,7849,03013505,3,0.1060,-2.24,99,68,30,3,2600,25013,4.9,61818,69,17,13.86629257,30.37321583,27.54459634,28.21589525,25.35757,1673,31.38871,3.15085,4.62153,18.50912,18452,8.29844,431,6.12274,3.37664,33.12523888
1616,LA,70112,Associates,2122,02013873,2,0.5376,-0.62,115,58,38,9,665,22071,4.5,46188,88.7,25.2,11.82497953,22.4451924,26.62821796,39.10161012,40.062,1605,23.50474,8.36397,4.62502,22.39241,25720,10.09772,705,13.73085,7.34876,31.33836004
1617,NH,03431,Discover,10266,10010164,10,0.3119,-1.17,113,5,13,7,100,33005,2.7,67883,76.9,9.9,6.306523351,31.78650852,28.84358784,33.06338028,18.13785,1196.5,38.00887,1.8078,2.49089,16.64651,22846,5.08475,300,6.81177,6.53781,0.974089227
1618,PA,19443,Wells,2493,03013411,3,0.4574,-0.78,106,29,138,4,110,42091,3.5,102648,148.9,7,5.342988975,22.76387748,21.14558919,50.74754436,15.44777,1581,32.54124,1.79223,2.19963,19.43587,24337,4.99903,464,5.96144,3.899,4.412354593
1619,PA,15520,Discover,4955,01016342,1,0.9769,-0.02,98,19,25,7,1900,42111,5.4,53770,78,12.9,10.52792462,48.95529903,23.63074046,16.88603589,19.96497,1634.5,40.84939,1.78236,2.61299,14.01051,18658,8.4375,397,8.62522,8.21323,38.34510595
1620,WA,98126,Bank_Of_Am,585,10011859,10,0.0871,-2.44,101,48,47,7,610,53033,2.9,110351,131.1,9.3,6.331713642,14.84370095,24.79811878,54.02646663,12.93026,1740,23.20067,1.91134,1.67551,12.62852,21706,5.1976,529,4.58894,5.24257,104.2735043
1621,IL,60614,Discover,1989,03923769,3,0.6857,-0.38,107,63,25,3,1214,17031,5,72063,99.8,13.8,12.02660655,22.42699294,24.79774466,40.74865585,27.42029,1448,23.33793,4.92323,3.65191,16.81452,22564,7.54465,587,13.28281,8.93505,61.03569633
1622,OR,97405,Bank_Of_Am,1599,01016247,1,0.5226,-0.65,121,73,85,1,1400,41039,4.6,61509,86.1,14.4,7.113270943,22.68949676,37.7277473,32.46948499,16.74562,1581,26.15308,1.90074,2.80702,16.08909,22198.5,9.50413,632,3.88099,5.79329,87.5547217
1623,IL,62234,Wells,3577,01015837,1,0.7414,-0.3,119,36,95,1,300,17119,3.7,65886,91.2,11.4,6.999919418,29.01877569,35.51317521,28.46812968,28.3517,1338,32.13031,6.33107,2.9485,16.3861,18505,6.94752,582.5,16.66465,4.61683,8.38691641
1624,CA,92083,Wells,1366,07012376,7,0.7851,-0.24,109,90,75,2,45,06073,3.4,90756,107,10.7,11.6848286,18.19642779,29.85549373,40.26324989,20.19116,1924,28.30083,2.24266,2.34859,12.17414,19222,6.50241,855,9.18014,6.69465,3.294289898
1625,NY,10457,Associates,1144,05013002,5,0.9142,-0.09,123,57,69,8,100,36005,7.8,43143,58.1,26.4,25.8710362,27.85533524,25.3350941,20.93853447,30.75821,1916,14.16069,7.05584,7.05134,15.53628,18348,10.82875,440,6.1109,7.58297,8.741258741
1626,MI,49746,Discover,3014,01014945,1,0.5602,-0.58,120,52,61,5,200,26007,5,50848,80.1,15.5,7.310145737,36.23876705,39.6470643,16.80402291,22.95409,1676.5,34.63074,4.7619,2.1875,10.47904,13750,8.57143,491,14.07186,5.25911,6.635700066
1627,TX,79902,Bank_Of_Am,8258,01017822,1,0.9453,-0.06,131,21,3,1,725,48141,4.3,50983,76.1,20.1,20.24416302,23.78884176,31.30272408,24.66427114,37.41154,2159,34.58446,5.84388,3.95777,18.50383,16522.5,9.41129,941.5,16.88836,21.41302,8.779365464
1628,WA,98541,Wells,2826,05012856,5,0.1987,-1.62,118,7,47,1,925,53045,6.3,73696,87.6,12.6,9.594608824,30.81394124,40.86553649,18.72591345,17.38513,1847,30.98058,1.87735,2.76968,9.04784,18592,10.99476,454,4.45287,7.48351,32.73177636
1629,MD,21215,Bank_Of_Am,1380,01019334,1,0.2039,-1.59,140,99,3,1,272,24510,4.3,54068,60,22.9,13.66887749,28.11620329,24.00898469,34.20593452,40.81908,1325,25.05273,8.5936,7.01501,19.39888,22985,12.62458,460,17.09046,5.65918,19.71014493
1630,MI,48726,Associates,3949,01016487,1,0.1495,-1.9,88,51,116,6,350,26157,5.4,52365,82.5,13,9.484327078,44.73410615,31.626553,14.15501378,23.09925,1334.5,33.89437,2.72851,3.13726,12.47824,16452,7.44186,444,13.98723,5.08497,8.863003292
1631,TX,77532,Chase_Bony,7587,06922557,6,0.3054,-1.19,113,51,127,2,225,48201,4.2,63539,94.9,16.4,18.13170496,22.75718363,26.58484296,32.52626845,37.36998,2041,27.98331,7.34685,4.57956,14.67667,18894,9.26155,867,13.47865,21.81881,2.965599051
1632,OH,43223,Discover,4279,06012738,6,0.5710,-0.56,94,6,86,1,25,39049,3.4,66056,106.1,14.3,8.539437609,24.00127014,26.26078228,41.19850997,30.64173,1338,30.67632,4.45562,3.86341,20.83539,23292,7.56372,615,14.83796,8.22294,0.584248656
1633,CA,94947,Wells,1039,04013055,4,0.6108,-0.49,146,14,56,7,43,06041,2.7,118472,139.7,7.8,6.576024909,10.16554229,23.10949663,60.14893617,10.73707,1747,21.74581,1.57518,1.13951,7.96126,24675.5,4.1543,713,4.5476,3.76067,4.138594803
1634,MI,48850,Associates,2622,08012296,8,0.0259,-3.65,120,69,44,2,878,26117,4.5,55735,87.8,13.2,11.52324431,40.08730056,34.46006967,13.92938546,31.42857,1446,32.70936,3.58852,4.29825,14.18719,22017,11.80556,555.5,19.90148,7.82693,33.48588863
1635,CA,92027,Bank_Of_Am,1322,06012631,6,0.7107,-0.34,99,52,16,1,241,06073,3.4,90756,107,10.7,11.6848286,18.19642779,29.85549373,40.26324989,20.19116,1924,28.30083,2.24266,2.34859,12.17414,19222,6.50241,855,9.18014,6.69465,18.22995461
1636,MO,65536,Discover,6882,10011681,10,0.1234,-2.09,127,98,46,3,975,29029,3.1,54637,88.4,13.2,8.628928506,36.61398027,32.35312136,22.40396986,27.62238,1668,31.32867,2.24719,2.51142,11.74825,18422.5,8.92857,866,17.69231,12.45295,14.1673932
1637,IL,62450,Bank_Of_Am,1629,01927333,1,0.4218,-0.86,134,90,11,4,2228,17159,3.7,56852,78.7,14.2,7.665030005,31.22385888,41.71667576,19.39443535,21.31148,1801,27.66393,8.41584,5.28169,10.86066,15447,1.88679,931,11.68033,4.25573,136.7710252
