PlayerNumber, Age , FedExCupPoints , Money , Round1Score , Round2Score , Round3Score , Round4Score , TotalStrokes , AverageDrive ,Drive_rank, Percent_Birdie_when_GIR , Percent_Fairways , Percent_GIR , Putt_round , Percent_10foot , Percent_Outside10 
6515, 42.00 , 14.33 ," 19,611.17 ", 70.83 , 71.33 , 71.50 , 73.83 , 287.50 , 272.88 ,209, 0.24 , 57.12 , 58.10 , 28.58 , 88.03 , 13.79 
6522, 41.00 , 19.00 ," 28,404.44 ", 71.83 , 70.50 , 72.50 , 73.00 , 287.83 , 283.74 ,96.5, 0.26 , 58.04 , 68.52 , 30.71 , 83.88 , 13.32 
6527, 43.63 , 128.56 ," 279,279.24 ", 69.13 , 68.88 , 67.75 , 70.75 , 276.50 , 278.27 ,159, 0.36 , 66.00 , 68.06 , 27.66 , 89.05 , 17.63 
6567, 47.64 , 71.83 ," 138,204.54 ", 69.45 , 69.55 , 70.36 , 70.91 , 280.27 , 285.60 ,70, 0.33 , 61.38 , 67.42 , 32.74 , 86.07 , 16.36 
6573, 45.00 , 55.14 ," 96,297.96 ", 69.27 , 70.73 , 70.64 , 70.09 , 280.73 , 285.59 ,71, 0.31 , 65.26 , 68.94 , 30.21 , 86.51 , 15.41 
6595, 46.00 , 40.75 ," 68,173.21 ", 69.25 , 69.25 , 71.00 , 73.75 , 283.25 , 278.86 ,148, 0.29 , 58.62 , 67.36 , 39.38 , 86.89 , 12.62 
6621, 46.50 , 36.50 ," 43,121.33 ", 68.25 , 70.00 , 70.00 , 71.25 , 279.50 , 273.18 ,207, 0.26 , 75.86 , 70.14 , 31.33 , 87.56 , 18.21 
6643, 46.00 , 48.02 ," 117,702.54 ", 71.78 , 69.89 , 71.44 , 72.78 , 285.89 , 270.20 ,235, 0.27 , 67.46 , 62.81 , 30.27 , 84.89 , 15.19 
7457, 43.33 , 25.05 ," 36,613.22 ", 71.00 , 70.89 , 71.22 , 71.00 , 284.11 , 271.15 ,228, 0.31 , 62.70 , 55.56 , 27.67 , 89.97 , 14.32 
7707, 45.00 , -   ," 12,152.00 ", 72.00 , 69.00 , 71.00 , 72.00 , 284.00 , 280.89 ,126, 0.28 , 44.64 , 50.00 , 27.00 , 87.50 , 22.22 
7749, 41.00 , 36.50 ," 34,965.00 ", 72.00 , 65.00 , 75.00 , 71.00 , 283.00 , 268.29 ,246, 0.34 , 72.73 , 61.11 , 56.50 , 87.18 , 11.76 
7867, 47.00 , 23.75 ," 19,040.25 ", 72.00 , 71.00 , 72.50 , 71.00 , 286.50 , 272.22 ,216, 0.30 , 61.68 , 61.81 , 28.00 , 86.79 , 23.10 
8075, 44.00 , 58.21 ," 96,923.60 ", 69.71 , 68.71 , 70.43 , 69.71 , 278.57 , 267.14 ,254, 0.26 , 69.64 , 64.09 , 28.39 , 91.21 , 14.31 
8375, 41.00 , 22.75 ," 22,298.17 ", 70.33 , 70.00 , 71.17 , 71.83 , 283.33 , 275.62 ,190, 0.29 , 55.84 , 62.73 , 35.00 , 88.83 , 15.97 
8537, 45.00 , 23.63 ," 24,220.75 ", 73.00 , 69.67 , 72.33 , 75.33 , 290.33 , 269.71 ,239, 0.28 , 59.52 , 54.63 , 28.17 , 83.96 , 15.05 
8725, 42.00 , 59.32 ," 121,867.83 ", 68.67 , 70.00 , 71.67 , 72.00 , 282.33 , 283.34 ,100, 0.30 , 68.99 , 66.20 , 35.49 , 85.01 , 18.30 
8793, 35.00 , 45.97 ," 65,232.00 ", 70.67 , 70.33 , 72.67 , 71.00 , 284.67 , 284.35 ,88, 0.29 , 47.62 , 67.59 , 32.44 , 86.72 , 19.00 
9011, 39.00 , 23.40 ," 51,957.83 ", 73.17 , 70.33 , 73.00 , 72.67 , 289.17 , 285.18 ,76, 0.31 , 50.51 , 61.81 , 35.79 , 83.64 , 15.63 
10213, 41.00 , 20.75 ," 23,205.50 ", 73.50 , 68.50 , 71.00 , 74.00 , 287.00 , 278.84 ,149, 0.29 , 69.64 , 62.50 , 28.88 , 83.77 , 15.65 
10423, 40.00 , 0.84 ," 10,788.00 ", 72.00 , 70.00 , 78.00 , 75.00 , 295.00 , 269.02 ,242, 0.30 , 37.50 , 55.56 , 38.67 , 89.66 , 6.67 
10505, 40.75 , 20.71 ," 19,400.00 ", 70.75 , 67.00 , 71.75 , 72.00 , 281.50 , 271.85 ,221, 0.25 , 69.07 , 64.58 , 36.44 , 85.61 , 14.74 
10585, 45.00 , 19.00 ," 16,388.22 ", 70.67 , 71.33 , 72.67 , 71.67 , 286.33 , 275.79 ,187, 0.30 , 64.16 , 61.11 , 38.83 , 86.42 , 12.29 
10733, 44.00 , 25.07 ," 25,072.67 ", 70.43 , 70.00 , 70.57 , 72.29 , 283.29 , 270.60 ,232, 0.28 , 64.56 , 65.08 , 28.89 , 88.60 , 19.81 
10809, 40.14 , 44.57 ," 70,336.67 ", 71.00 , 69.57 , 70.29 , 70.86 , 281.71 , 270.80 ,230, 0.29 , 65.95 , 65.67 , 28.57 , 88.01 , 16.33 
10860, 38.00 , 25.85 ," 34,728.39 ", 70.86 , 71.43 , 71.71 , 71.57 , 285.57 , 273.81 ,204, 0.25 , 65.50 , 64.09 , 28.93 , 88.47 , 16.10 
10885, 39.00 , 47.80 ," 84,941.23 ", 70.80 , 70.90 , 69.40 , 70.50 , 281.60 , 282.78 ,106, 0.28 , 63.57 , 69.58 , 29.45 , 87.17 , 14.33 
10944, 40.00 , -   ," 73,000.00 ", 71.00 , 73.00 , 70.00 , 71.00 , 285.00 , 276.89 ,174, 0.32 , 62.50 , 61.11 , 28.25 , 86.84 , 13.51 
11032, 41.00 , 23.62 ," 33,662.58 ", 71.00 , 70.50 , 70.00 , 73.00 , 284.50 , 293.58 ,13, 0.35 , 51.79 , 61.11 , 27.75 , 86.31 , 20.71 
11123, 37.45 , 34.18 ," 53,475.50 ", 69.18 , 69.27 , 71.27 , 72.55 , 282.27 , 287.22 ,57, 0.33 , 66.21 , 63.13 , 29.34 , 88.70 , 20.54 
12510, 36.10 , 37.80 ," 52,163.65 ", 70.30 , 70.70 , 70.70 , 70.60 , 282.30 , 277.82 ,164, 0.25 , 64.11 , 70.14 , 29.98 , 86.15 , 11.94 
12602, 41.00 , 31.28 ," 42,837.41 ", 70.33 , 68.83 , 70.50 , 71.83 , 281.50 , 264.72 ,262, 0.30 , 67.37 , 63.43 , 32.88 , 88.07 , 17.65 
12652, 40.40 , 44.68 ," 59,369.93 ", 69.20 , 69.80 , 69.00 , 69.80 , 277.80 , 278.35 ,158, 0.37 , 65.17 , 67.50 , 28.05 , 87.29 , 24.23 
12660, 45.00 , 13.25 ," 13,219.50 ", 69.50 , 69.50 , 71.50 , 74.00 , 284.50 , 275.66 ,189, 0.34 , 60.42 , 56.25 , 41.38 , 90.66 , 19.40 
12680, 41.00 , 87.50 ," 177,375.00 ", 65.00 , 65.00 , 70.00 , 69.00 , 269.00 , 269.14 ,241, 0.45 , 44.64 , 61.11 , 26.75 , 92.75 , 15.79 
12716, 34.00 , 53.18 ," 85,593.98 ", 68.73 , 72.09 , 70.00 , 70.64 , 281.45 , 289.54 ,35, 0.37 , 63.83 , 66.67 , 28.61 , 85.67 , 15.72 
12782, 40.86 , 55.07 ," 91,244.34 ", 70.14 , 69.29 , 71.71 , 69.86 , 281.00 , 280.41 ,132, 0.31 , 54.85 , 66.67 , 30.19 , 89.11 , 15.90 
19824, 38.00 , 6.50 ," 11,816.00 ", 70.00 , 72.00 , 71.00 , 72.00 , 285.00 , 286.09 ,68, 0.24 , 55.36 , 63.89 , 29.75 , 88.89 , 17.02 
19846, 39.00 , 40.32 ," 60,842.79 ", 69.82 , 70.64 , 69.82 , 70.91 , 281.18 , 266.88 ,257, 0.28 , 74.19 , 62.88 , 28.02 , 89.13 , 17.78 
19881, 38.00 , 7.50 ," 12,780.00 ", 73.00 , 72.00 , 73.00 , 76.00 , 294.00 , 266.98 ,255, 0.11 , 71.43 , 62.50 , 30.50 , 89.61 , 6.67 
19958, 47.00 , -   ," 45,500.00 ", 71.00 , 72.00 , 73.00 , 76.00 , 292.00 , 271.41 ,225, 0.30 , 57.14 , 51.39 , 27.25 , 91.18 , 21.95 
19970, #NULL! , 83.00 ," 167,348.50 ", 70.00 , 69.00 , 71.17 , 70.83 , 281.00 , 281.10 ,123, 0.32 , 57.44 , 63.89 , 28.79 , 85.96 , 15.73 
20070, 35.44 , 40.64 ," 66,150.45 ", 68.56 , 69.67 , 70.89 , 72.00 , 281.11 , 281.90 ,114, 0.33 , 58.11 , 65.12 , 31.50 , 89.12 , 19.58 
20095, 40.00 , 10.50 ," 13,260.00 ", 69.00 , 66.00 , 71.00 , 69.00 , 275.00 , 272.79 ,210, 0.31 , 76.79 , 66.67 , 28.75 , 93.85 , 20.00 
20098, 39.13 , 43.71 ," 74,023.31 ", 68.75 , 69.13 , 71.13 , 71.63 , 280.63 , 278.81 ,150, 0.30 , 54.92 , 66.32 , 33.44 , 90.08 , 15.18 
20127, 37.00 , 28.86 ," 37,576.79 ", 68.14 , 71.14 , 72.43 , 72.14 , 283.86 , 270.22 ,234, 0.27 , 68.49 , 62.10 , 32.75 , 85.99 , 15.72 
20157, 42.00 , 45.98 ," 83,702.50 ", 70.17 , 71.67 , 68.83 , 71.67 , 282.33 , 279.73 ,142, 0.32 , 61.13 , 63.66 , 28.75 , 89.25 , 15.72 
20160, 39.00 , 47.99 ," 88,000.11 ", 70.27 , 69.91 , 70.18 , 72.91 , 283.27 , 276.31 ,181, 0.31 , 62.30 , 62.63 , 31.55 , 90.09 , 19.29 
20229, 37.20 , 42.70 ," 69,221.13 ", 69.60 , 70.50 , 71.10 , 71.30 , 282.50 , 280.63 ,130, 0.29 , 58.50 , 67.78 , 29.87 , 88.64 , 13.70 
20396, 37.25 , -   ," 73,676.16 ", 69.25 , 71.25 , 72.00 , 68.00 , 280.50 , 288.56 ,44, 0.33 , 56.70 , 69.44 , 29.19 , 87.20 , 16.59 
20436, 37.00 , 37.19 ," 60,621.20 ", 68.80 , 70.20 , 71.60 , 73.20 , 283.80 , 273.09 ,208, 0.29 , 70.49 , 65.00 , 30.68 , 86.14 , 13.86 
20472, 40.00 , 25.56 ," 26,158.25 ", 69.88 , 71.00 , 69.25 , 74.00 , 284.13 , 270.02 ,236, 0.26 , 65.52 , 65.45 , 32.59 , 85.07 , 14.18 
20498, 38.50 , 20.35 ," 24,952.50 ", 70.50 , 70.50 , 69.00 , 73.00 , 283.00 , 276.59 ,178, 0.22 , 69.64 , 69.44 , 29.50 , 87.60 , 14.25 
20572, 41.00 , 50.80 ," 94,751.63 ", 71.00 , 68.20 , 70.40 , 72.00 , 281.60 , 280.58 ,131, 0.30 , 62.86 , 59.44 , 27.85 , 87.69 , 17.87 
20574, 36.00 , -   ," 16,157.15 ", 70.00 , 74.00 , 72.00 , 69.00 , 285.00 , 296.30 ,8, 0.25 , 46.43 , 66.67 , 29.00 , 89.33 , 12.20 
