acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,county,PctUnempl,MedIncome,IncomePctStateAvg,PctPoverty,Pct_ltHS,Pct_HS,Pct_SomeCollege,Pct_BachPlus,Pct_AnyDebtCollections,MedianDebtCollections,Pct_AutoLoan,Pct_AutoLoanCollections,Pct_CCLoanCollections,Pct_EduLoan,MedianEduLoan,Pct_EduLoanCollections,MedianMedDebt,Pct_MedDebtCollections,Pct_NoHealthIns
5469,NY,12477,Bank_Of_Am,4253,06012603,6,0.9788,-0.02,104,10,114,1,36111,3.2,77427,104.3,11.3,8.581555501,28.2519914,28.68736371,34.47908939,22.15109,1410,34.0589,2.6616,2.85016,15.87708,20964.5,5.41475,471,10.06036,5.4937
5470,WA,98467,Bank_Of_Am,820,05922748,5,0.3645,-1.01,144,57,40,4,53053,5.1,85492,101.6,8.2,7.924204393,26.46603634,37.19941215,28.41034711,21.19234,2117,33.19062,2.68714,3.05919,15.48753,18644,6.54227,818,8.94431,6.34058
5471,TN,38134,Chase,5429,04013084,4,0.8708,-0.14,103,94,15,4,47157,4.5,54931,92,18,10.72462202,27.56382554,28.40637502,33.30517742,38.97949,1982,28.10853,9.12342,6.29795,20.40308,22769.5,12.07679,766.5,15.24712,12.04647
5472,NY,12303,Chase_Rev,1587,02014098,2,0.5231,-0.65,140,49,170,5,36001,3,74512,100.4,11.9,7.184548747,21.23742574,27.25839665,44.31962887,21.3463,1823.5,33.81591,2.53553,3.39593,20.66998,22976.5,5.1636,524.5,7.54518,3.1532
5473,IL,60615,Discover,2916,04013082,4,0.7690,-0.26,129,62,57,4,17031,5,72063,99.8,13.8,12.02660655,22.42699294,24.79774466,40.74865585,27.42029,1448,23.33793,4.92323,3.65191,16.81452,22564,7.54465,587,13.28281,8.93505
5474,CA,92503,Wells,1557,02013863,2,0.1354,-2,143,85,294,4,06065,4.2,78690,92.8,11.6,17.00949518,26.92678907,32.53036944,23.5333463,26.08633,2126,33.7148,3.36421,3.62591,13.678,18560,8.81511,842,8.82245,8.20894
5475,VA,22401,Wells,2160,02014240,2,0.7266,-0.32,124,23,12,5,51630,3.4,77437,95.7,14.2,8.942945076,20.98721591,27.39109848,42.67874053,33.13107,1881,29.97573,3.14685,4.81696,17.71845,21731.5,10.9589,578,20.02427,10.13579
5476,DE,19810,Discover,7328,04923460,4,0.5873,-0.53,131,74,320,1,10003,4.4,74088,103.4,11.4,7.62630641,29.33578069,25.49008641,37.54782648,30.07596,1783,30.91156,4.55711,4.11671,17.17309,22650,7.48815,765,17.99783,5.01404
5477,CA,95376,Bank_Of_Am,1028,01019490,1,0.1005,-2.3,117,52,36,2,06077,5.2,79598,93.8,12.3,19.70052806,28.76126398,32.06966521,19.46854275,24.80772,1840,30.6392,3.24091,3.67579,11.9237,15944.5,10.02187,676,8.49954,6.1897
5478,OH,44622,Discover,1521,08000000,8,0.9601,-0.04,122,17,29,1,39157,3.8,58282,93.6,12.4,11.63069171,45.85873352,24.14468773,18.36588704,26.16318,1278,32.23196,3.60685,3.3848,14.09305,19100,5.74163,619,15.40796,8.65851
5479,NY,11235,Discover,2679,01016908,1,0.1914,-1.65,117,31,41,2,36047,5.9,66943,90.2,19.2,16.30432698,25.24559171,18.91882099,39.53126032,19.79745,1779,13.06414,4.43968,4.09662,14.3664,22605,8.07049,380,3.40042,6.14937
5480,CA,96151,Bank_Of_Am,1095,01016237,1,0.0799,-2.53,110,83,61,9,06017,3.4,87689,103.4,8.8,5.321849631,20.7918591,37.05214997,36.8341413,15.6006,1627,27.59595,1.79211,1.99762,9.25403,20079,6.4632,798,7.97475,3.38212
