"","YEAR","AGE","SEX","DEGREE","REGION","PersIncomeAdj","MARITAL","EDUC","CLASS_","BORN","PRESTG10","SEI10","FINRELA","SATFIN","UNEMP","JOBLOSE","JobFind"
"10062",1978,20,2,1,2,17457.4099144342,5,12,2,1,32,13.2,2,3,1,1,3
"10063",1978,28,1,1,2,82289.9471059576,1,12,2,1,38,52.1,3,2,1,3,3
"10064",1978,41,2,1,1,44958.9458648541,1,12,2,1,48,24.2,3,2,2,4,3
"10066",1978,35,2,1,2,9899.35483566573,1,12,3,1,64,84.2,3,1,2,4,1
"10067",1978,38,1,1,2,118562.620951619,1,10,3,1,25,23.3,3,2,2,4,3
"10069",1978,23,1,1,2,44958.9458648541,5,12,3,1,39,67.7,2,2,1,4,1
"10070",1978,29,1,1,2,56106.3282894842,1,12,2,1,38,43,2,3,1,3,1
"10071",1978,23,1,1,2,67483.3477904838,1,12,2,1,40,35.8,3,2,2,3,3
"10072",1978,51,1,1,2,118562.620951619,3,13,3,1,51,52.3,4,2,2,3,2
"10074",1978,23,1,1,2,56106.3282894842,1,13,3,1,38,52.1,2,2,1,4,2
"10075",1978,32,1,3,2,179526.272617353,1,16,3,1,48,57.5,4,2,2,4,1
"10078",1978,39,1,1,2,67483.3477904838,1,14,2,1,38,28.4,3,2,1,4,1
"10079",1978,29,2,3,2,56106.3282894842,5,16,2,2,47,38.8,3,2,1,4,2
"10080",1978,31,1,4,2,179526.272617353,1,19,3,1,69,91.1,4,2,2,4,2
"10082",1978,41,1,3,2,118562.620951619,1,16,3,1,63,81,4,2,2,4,2
"10083",1978,33,2,1,2,9899.35483566573,1,13,3,1,47,38.8,4,2,2,4,3
"10086",1978,26,2,1,2,44958.9458648541,1,12,2,1,56,76.7,4,1,1,4,1
"10090",1978,36,2,1,2,27376.7331915234,3,13,3,1,52,67.8,1,3,2,4,3
"10092",1978,33,2,1,3,21026.0802473029,1,12,3,1,47,38.8,3,2,2,4,2
"10094",1978,65,1,0,3,2026.49762987552,1,8,2,1,38,43,2,2,2,4,3
"10095",1978,24,2,1,3,9259.31981576764,1,14,2,1,31,39.7,4,1,2,4,2
"10096",1978,22,1,1,3,63120.2648863071,5,12,3,1,25,23.3,3,2,1,4,3
"10097",1978,35,1,1,3,63120.2648863071,1,12,2,1,42,35.3,2,3,2,4,1
"10099",1978,60,1,1,3,30280.7307136929,5,20,3,1,66,62.6,2,1,2,4,1
"10100",1978,25,1,3,3,21026.0802473029,5,17,3,1,40,42.2,4,2,1,1,3
"10101",1978,58,1,1,3,86224.205606639,1,12,2,1,34,34.7,3,1,2,4,3
"10102",1978,51,1,1,3,167919.142317012,1,14,3,1,52,71.6,5,1,2,4,1
"10105",1978,25,2,2,3,25606.711986722,1,15,3,1,47,38.8,4,2,1,3,3
"10107",1978,27,2,1,3,35052.8057775934,5,14,2,1,36,24.6,2,2,1,4,1
"10110",1978,24,1,1,3,9259.31981576764,5,15,3,1,32,36.7,4,2,1,4,3
"10111",1978,34,2,1,3,21026.0802473029,1,12,3,1,38,27,3,3,2,4,1
"10113",1978,21,2,1,3,9259.31981576764,5,14,3,1,47,38.8,2,3,2,4,1
"10115",1978,51,1,0,3,76969.555140249,1,8,3,1,46,52,3,1,2,2,2
"10119",1978,41,2,0,3,9259.31981576764,1,8,2,1,35,32,3,3,1,3,3
"10120",1978,38,2,1,2,56106.3282894842,5,12,2,2,37,50.7,2,3,2,3,3
"10121",1978,38,2,3,3,2026.49762987552,1,16,2,1,61,80.9,3,2,2,4,3
"10125",1978,48,2,0,3,52478.8176547718,1,11,2,1,38,27,3,2,2,4,3
"10126",1978,33,1,1,3,42052.1604946058,1,12,2,1,35,32,3,2,1,3,1
"10127",1978,21,2,1,3,42052.1604946058,1,12,3,1,45,38.3,3,2,2,4,2
"10129",1978,34,1,1,3,167919.142317012,1,15,3,1,31,39,4,1,1,4,3
"10131",1978,56,1,4,2,106082.345061975,5,20,3,1,74,84.5,4,2,2,4,3
"10133",1978,32,2,1,5,26737.1330463576,1,12,2,1,21,32.6,3,2,2,4,1
"10134",1978,19,2,1,5,9668.07710264901,5,12,3,1,31,19.6,3,3,1,4,2
"10136",1978,29,1,1,5,65906.7404304636,1,12,1,1,40,38.3,2,2,1,4,3
"10137",1978,63,1,0,5,21954.2870364238,1,8,2,1,24,20.7,4,2,2,3,3
"10142",1978,30,1,1,2,82289.9471059576,5,14,2,2,38,42.8,4,2,2,4,3
"10143",1978,29,1,1,5,65906.7404304636,1,15,2,1,31,31.3,3,1,2,4,1
"10148",1978,44,1,1,5,90030.6161258278,1,13,2,1,50,46.5,3,1,1,4,1
"10149",1978,44,2,3,5,54795.5212086093,1,16,3,1,61,80.9,3,2,2,4,2
"10150",1978,55,1,4,5,516220.711903973,1,20,3,1,80,92.8,2,1,2,3,3
"10151",1978,47,2,0,5,17049.5540231788,1,10,3,1,33,13.6,4,1,2,4,1
"10152",1978,59,1,0,5,21954.2870364238,1,4,2,1,39,38.1,2,1,2,4,3
"10155",1978,53,1,1,5,43908.5740728477,1,11,2,1,42,31,3,1,2,4,3
"10157",1978,53,1,0,5,36600.2293543046,1,8,2,1,22,14.8,3,1,2,4,3
"10162",1978,24,2,1,5,54795.5212086093,1,12,2,1,31,21.1,3,2,2,3,3
"10163",1978,28,2,0,5,36600.2293543046,1,11,3,1,36,24.6,3,2,2,4,3
"10164",1978,22,1,1,2,44958.9458648541,1,12,2,2,24,20.7,3,2,1,3,3
"10167",1978,28,1,0,5,54795.5212086093,1,9,2,1,44,28.7,4,3,1,3,3
"10169",1978,33,2,3,5,54795.5212086093,1,17,3,1,61,60.5,3,1,2,3,3
"10171",1978,33,2,1,5,31617.4886589404,1,12,3,1,22,14.8,3,2,2,4,2
"10174",1978,34,2,3,5,9668.07710264901,1,16,3,1,61,80.9,4,2,1,3,2
"10175",1978,19,1,1,1,9899.35483566573,5,12,3,1,24,20.7,3,1,1,3,2
"10176",1978,22,1,0,2,22479.472932427,5,11,1,2,25,23.8,2,2,2,4,1
"10187",1978,20,1,0,5,9668.07710264901,5,9,2,1,27,14,3,1,2,3,3
"10189",1978,25,2,1,5,21954.2870364238,1,15,3,1,31,39.7,3,3,1,2,2
"10191",1978,30,1,3,5,65906.7404304636,5,17,3,1,66,92,3,3,1,3,3
"10192",1978,49,1,1,5,54795.5212086093,1,12,2,1,45,38.8,3,1,2,3,3
"10196",1978,51,2,0,5,9668.07710264901,1,12,3,1,45,62,3,2,1,4,2
"10197",1978,56,1,1,2,92184.3098312675,1,14,2,1,38,43,3,2,2,1,3
"10199",1978,77,2,0,5,9668.07710264901,1,8,2,1,32,35.8,3,1,2,4,3
"10201",1978,43,1,2,5,65906.7404304636,1,14,2,1,47,57.8,3,3,2,3,1
"10202",1978,54,1,0,5,9668.07710264901,1,11,3,1,28,21.6,3,1,2,3,3
"10208",1978,31,1,3,2,82289.9471059576,5,19,3,1,64,82.5,3,3,2,3,3
"10209",1978,42,2,1,5,31617.4886589404,1,12,2,1,47,38.8,3,2,2,3,3
"10211",1978,55,1,1,5,65906.7404304636,1,12,2,1,38,42.8,2,1,1,4,1
"10213",1978,64,2,4,5,65906.7404304636,3,18,3,1,64,82.5,4,1,2,4,2
"10214",1978,49,1,0,9,87959.4714361526,1,8,2,1,49,53.9,4,1,2,3,1
"10215",1978,70,1,1,9,113391.092454395,1,13,2,1,33,46.6,3,1,2,4,1
"10219",1978,44,2,1,2,9899.35483566573,1,12,3,1,34,17,3,2,2,4,1
"10223",1978,33,2,0,9,10581.3899452736,1,10,2,1,40,33.4,3,1,2,4,2
"10225",1978,42,1,4,9,87959.4714361526,3,18,3,1,64,82.5,3,2,1,4,3
"10226",1978,34,2,0,9,87959.4714361526,4,11,2,1,22,14.8,3,2,1,3,3
"10228",1978,24,1,3,9,10581.3899452736,5,17,3,1,73,84,4,1,1,3,3
"10229",1978,21,1,1,9,59971.8817927031,5,12,3,1,45,19.7,4,1,2,4,2
"10230",1978,57,2,1,2,44958.9458648541,3,12,3,2,49,28.6,3,3,2,4,3
"10231",1978,28,1,1,9,40057.7379320066,1,12,3,1,38,27,3,2,1,1,2
"10232",1978,46,1,1,9,87959.4714361526,1,13,3,1,31,39.7,4,1,2,4,2
"10235",1978,51,1,1,3,76969.555140249,1,12,2,1,38,42.8,3,2,2,4,1
"10239",1978,39,1,1,3,76969.555140249,1,12,4,1,31,55.3,4,1,2,4,3
"10241",1978,55,2,1,3,9259.31981576764,3,12,2,1,39,38.1,3,1,1,4,3
"10242",1978,24,1,1,3,25606.711986722,4,12,2,1,37,18.6,3,3,1,4,2
"10244",1978,39,2,0,3,16328.714773444,1,11,2,1,31,19.6,3,2,2,4,1
"10245",1978,25,2,1,3,42052.1604946058,5,12,2,1,35,25,3,2,1,3,2
"10246",1978,33,1,1,3,76969.555140249,1,12,3,1,38,42.8,3,2,1,3,3
"10249",1978,37,2,1,3,35052.8057775934,1,12,2,1,35,26.8,3,1,2,4,3
"10250",1978,24,2,1,3,42052.1604946058,5,12,2,1,24,17.1,3,2,1,2,2
"10251",1978,23,2,1,2,27376.7331915234,5,12,2,2,37,50.7,2,3,1,3,1
"10259",1978,54,2,1,3,21026.0802473029,1,14,2,1,48,24.2,2,2,2,4,2
"10263",1978,25,1,1,3,42052.1604946058,5,12,2,1,36,31.1,4,1,2,3,1
"10265",1978,34,1,1,3,42052.1604946058,3,12,3,1,36,31.1,3,2,1,4,1
"10266",1978,51,1,1,3,52478.8176547718,1,12,2,1,44,28.7,3,1,2,4,1
"10272",1978,35,1,1,4,25606.711986722,1,12,3,1,35,31.6,3,2,1,2,2
"10275",1978,27,2,1,4,9259.31981576764,5,12,2,1,35,21.8,3,1,1,4,3
"10276",1978,27,1,1,4,42052.1604946058,1,14,2,1,47,57.8,2,3,2,3,2
"10277",1978,32,1,1,4,99223.6742738589,1,12,2,1,35,32,3,3,1,3,2
"10279",1978,50,1,0,4,42052.1604946058,1,8,2,1,25,23.3,3,2,2,3,3
"10280",1978,27,1,3,4,76969.555140249,1,16,3,1,63,81.6,3,1,2,4,1
"10286",1978,31,2,1,4,52478.8176547718,1,12,3,1,39,41,3,1,1,3,2
"10292",1978,33,1,1,5,516220.711903973,1,12,2,1,29,20,3,3,2,3,3
"10303",1978,47,1,1,5,90030.6161258278,1,12,3,1,50,46.5,4,1,2,3,3
"10305",1978,23,1,1,5,43908.5740728477,1,12,2,1,60,65.3,2,2,2,3,2
"10306",1978,29,1,1,5,103603.95281457,1,12,3,1,33,46.2,3,2,1,3,3
"10309",1978,29,2,3,7,54795.5212086093,1,17,3,1,61,71.7,3,2,2,4,1
"10311",1978,28,1,1,7,80367.4145033113,1,13,3,1,47,57.8,3,1,2,4,1
"10313",1978,50,2,1,5,9668.07710264901,1,12,3,1,34,26.6,4,1,2,4,1
"10314",1978,40,1,1,5,90030.6161258278,1,15,3,1,72,77.4,4,2,2,4,2
"10315",1978,38,2,0,5,9668.07710264901,1,11,3,1,32,13.2,3,2,2,4,1
"10316",1978,24,1,0,5,9668.07710264901,1,8,2,1,23,18.8,3,2,1,3,2
"10318",1978,44,1,0,2,67483.3477904838,1,7,2,1,47,38.8,3,3,2,4,3
"10319",1978,24,2,0,5,9668.07710264901,4,11,2,1,32,13.2,3,1,2,3,3
"10322",1978,42,1,0,6,54795.5212086093,1,9,2,1,35,32,3,3,1,3,2
"10324",1978,49,1,0,6,2115.95837748344,1,5,2,1,29,20,2,3,2,1,1
"10326",1978,21,2,0,6,21954.2870364238,1,10,3,1,31,12.4,3,2,1,1,1
"10327",1978,39,1,0,6,65906.7404304636,1,9,2,1,30,36.7,3,3,1,4,2
"10328",1978,34,2,1,6,31617.4886589404,5,12,2,1,44,25.1,2,3,2,3,2
"10331",1978,64,2,0,6,9668.07710264901,2,11,3,1,55,61.4,3,1,2,4,3
"10335",1978,62,1,0,6,26737.1330463576,1,6,2,1,40,45.1,2,3,2,4,1
"10337",1978,21,2,1,1,9899.35483566573,1,12,2,1,33,13.6,2,3,1,1,3
"10343",1978,54,1,0,1,56106.3282894842,1,9,2,1,25,23.3,3,2,1,4,3
"10344",1978,55,2,1,1,22479.472932427,2,12,3,1,32,35.8,1,2,2,3,1
"10347",1978,34,2,4,1,56106.3282894842,5,18,3,1,64,82.5,3,3,2,4,1
"10349",1978,46,2,2,1,82289.9471059576,5,15,3,1,47,38.8,3,2,2,4,2
"10351",1978,25,1,3,2,56106.3282894842,5,16,2,1,47,62.7,2,1,1,4,1
"10352",1978,28,2,3,1,44958.9458648541,1,16,3,1,54,62.9,4,2,1,4,3
"10353",1978,58,1,1,1,179526.272617353,1,13,3,1,49,37.2,4,2,2,4,2
"10357",1978,47,1,1,1,118562.620951619,2,14,4,1,67,73.6,4,2,2,4,1
"10361",1978,36,1,4,1,179526.272617353,1,18,4,2,46,60.2,4,1,2,4,1
"10363",1978,52,2,3,1,17457.4099144342,1,16,3,1,39,49.6,4,1,2,3,2
"10364",1978,32,2,4,2,67483.3477904838,3,17,3,1,51,52.3,3,3,1,1,3
"10366",1978,45,1,3,2,179526.272617353,1,16,3,2,56,54.6,4,2,2,4,3
"10372",1978,64,1,1,2,82289.9471059576,1,12,3,1,17,45.3,4,2,1,3,2
"10374",1978,53,1,4,2,179526.272617353,1,20,3,1,72,86.6,4,1,2,4,2
"10375",1978,59,1,1,2,67483.3477904838,1,12,2,1,42,35.3,3,1,1,4,3
"10376",1978,42,2,1,2,22479.472932427,1,13,3,2,60,76.3,4,1,2,3,3
"10383",1978,34,1,3,2,82289.9471059576,1,16,3,1,54,62.9,4,2,2,3,2
"10384",1978,28,1,1,2,56106.3282894842,1,12,3,1,45,62,4,1,2,4,1
"10385",1978,59,2,0,2,44958.9458648541,3,12,2,1,40,49.4,2,2,2,3,3
"10388",1978,20,2,1,2,2166.57589444222,5,12,2,1,28,21.6,2,3,1,3,3
"10389",1978,39,1,1,2,92184.3098312675,1,12,3,1,50,46.5,3,3,1,4,2
"10390",1978,53,1,1,2,92184.3098312675,1,12,3,1,30,29.6,3,3,2,4,3
"10396",1978,45,1,3,2,179526.272617353,1,16,3,1,50,68,4,3,2,3,1
"10397",1978,58,1,0,2,9899.35483566573,2,8,2,1,36,27.5,2,1,2,4,3
"10399",1978,23,1,1,2,56106.3282894842,5,15,3,1,38,43,3,1,2,4,1
"10402",1978,22,2,1,2,32373.8356577369,1,13,3,1,48,24.2,3,1,2,1,1
"10403",1978,39,1,1,2,67483.3477904838,3,14,2,1,46,52,3,2,2,1,2
"10404",1978,23,1,1,2,37475.7724414234,1,15,2,1,62,50.4,2,1,1,1,2
"10405",1978,49,1,1,2,82289.9471059576,1,12,3,1,49,46,3,1,2,4,2
"10406",1978,41,2,1,2,17457.4099144342,1,12,2,1,24,20.7,2,3,2,4,1
"10407",1978,44,1,4,2,106082.345061975,1,20,3,1,66,62.6,3,1,2,4,2
"10408",1978,25,2,1,2,56106.3282894842,5,12,2,1,64,84.2,3,2,2,4,2
"10409",1978,20,1,1,2,9899.35483566573,5,13,2,1,24,20.7,2,3,2,3,3
"10411",1978,21,2,0,2,17457.4099144342,5,10,2,1,47,38.8,2,3,1,1,3
"10412",1978,33,2,1,2,56106.3282894842,5,14,2,1,46,52,3,2,2,4,3
"10416",1978,36,1,1,2,92184.3098312675,1,14,3,1,39,38.1,4,2,2,4,2
"10417",1978,42,2,1,2,56106.3282894842,1,15,2,1,64,84.2,3,3,2,4,3
"10422",1978,56,2,1,2,82289.9471059576,2,12,2,1,33,63.7,4,1,2,4,1
"10425",1978,26,1,1,2,44958.9458648541,1,12,2,1,34,33.9,3,2,1,1,3
"10426",1978,57,1,1,2,67483.3477904838,2,12,2,1,40,29.5,3,1,2,3,3
"10428",1978,70,2,1,2,9899.35483566573,2,12,2,1,45,38.3,2,2,2,4,3
"10429",1978,53,2,1,2,2166.57589444222,1,12,3,1,49,56.9,4,2,2,4,1
"10430",1978,39,2,0,2,22479.472932427,1,8,2,1,35,31.6,2,3,2,4,3
"10431",1978,44,2,1,2,9899.35483566573,1,12,2,1,31,19.6,3,3,1,4,2
"10432",1978,26,1,3,2,56106.3282894842,1,17,3,1,60,76.3,3,2,2,4,2
"10434",1978,32,2,0,2,17457.4099144342,1,5,2,2,25,12.6,3,2,1,3,3
"10435",1978,51,1,3,2,82289.9471059576,1,16,3,1,53,64.2,3,2,2,3,2
"10437",1978,39,1,1,2,118562.620951619,1,13,3,1,48,57.5,4,2,2,4,1
"10438",1978,48,1,0,2,9899.35483566573,3,10,2,1,24,20.7,2,3,1,4,1
"10439",1978,29,2,4,2,67483.3477904838,1,17,3,1,61,80.9,3,1,2,3,3
"10441",1978,22,2,1,2,37475.7724414234,5,14,3,1,35,25,4,2,1,2,3
"10446",1978,35,1,0,2,37475.7724414234,1,7,2,1,47,38.8,3,3,2,2,3
"10447",1978,34,2,1,2,17457.4099144342,1,12,2,1,39,20.8,2,3,2,4,2
"10449",1978,34,2,3,2,9899.35483566573,1,16,3,1,64,82.5,3,2,2,4,1
"10450",1978,52,1,3,2,118562.620951619,1,16,3,1,70,83.8,4,2,2,3,3
"10452",1978,27,1,1,2,27376.7331915234,1,14,2,1,31,39.7,4,2,1,4,1
"10454",1978,58,2,3,2,44958.9458648541,4,16,3,1,47,38.8,3,2,2,4,1
"10455",1978,37,1,0,2,56106.3282894842,1,6,2,2,35,32,3,1,2,4,2
"10456",1978,50,2,0,2,27376.7331915234,1,9,2,1,32,13.2,3,1,2,4,2
"10457",1978,29,1,2,2,92184.3098312675,1,14,3,1,50,57.4,3,2,2,3,2
"10459",1978,26,1,4,2,56106.3282894842,1,18,3,1,55,77.2,3,2,1,4,3
"10460",1978,61,1,0,2,92184.3098312675,1,9,3,1,48,57.5,4,2,2,4,3
"10465",1978,47,2,1,2,22479.472932427,1,13,2,2,26,15.8,3,2,2,4,2
"10466",1978,25,1,1,2,56106.3282894842,4,12,2,2,27,19.7,3,2,1,1,1
"10471",1978,39,2,1,2,56106.3282894842,3,12,2,1,45,38.3,2,3,1,4,3
"10472",1978,56,1,1,2,56106.3282894842,1,12,3,1,25,23.8,2,2,2,4,3
"10473",1978,39,1,1,3,76969.555140249,1,13,1,1,25,23.3,1,2,2,4,1
"10475",1978,29,1,1,3,52478.8176547718,1,12,2,1,35,23.7,3,3,2,4,3
"10476",1978,30,2,1,3,99223.6742738589,3,14,2,1,60,65.3,3,2,2,4,3
"10477",1978,26,1,1,3,86224.205606639,4,12,2,1,59,65.1,4,3,1,4,3
"10478",1978,37,2,1,3,9259.31981576764,1,12,3,1,47,38.8,4,1,2,4,2
"10481",1978,57,1,3,3,99223.6742738589,1,16,3,1,64,82.5,4,1,2,4,2
"10484",1978,57,2,1,3,35052.8057775934,4,14,2,1,48,26.1,2,3,2,4,2
"10485",1978,28,2,1,3,16328.714773444,1,12,2,1,47,38.8,2,3,1,4,1
"10486",1978,20,2,1,3,9259.31981576764,5,12,3,2,31,39.7,3,2,2,3,2
"10490",1978,32,1,3,3,110897.047717842,1,18,3,1,48,51.5,4,2,2,4,1
"10495",1978,24,1,3,3,110897.047717842,5,16,3,1,59,60.4,2,1,2,4,3
"10496",1978,23,2,3,3,42052.1604946058,5,16,3,1,56,76.7,4,1,1,4,1
"10497",1978,52,1,3,3,167919.142317012,1,16,3,1,70,86.1,4,2,2,4,3
"10498",1978,39,1,1,3,99223.6742738589,5,14,3,1,49,66.1,3,2,2,4,3
"10499",1978,62,1,1,3,52478.8176547718,1,12,3,1,25,23.3,4,1,2,4,3
"10501",1978,51,2,1,3,63120.2648863071,1,12,3,1,21,14,4,2,2,4,2
"10503",1978,36,1,1,3,52478.8176547718,1,14,2,2,63,63.1,2,2,2,4,3
"10504",1978,42,2,1,3,2026.49762987552,1,12,2,1,31,39.7,2,3,1,3,2
"10505",1978,49,2,3,1,37475.7724414234,1,16,3,1,48,26.1,4,1,2,3,2
"10506",1978,32,1,2,2,92184.3098312675,5,14,3,1,63,81,4,2,2,4,1
"10507",1978,28,2,0,3,25606.711986722,1,11,2,1,47,38.8,2,2,1,3,2
"10508",1978,40,1,1,3,86224.205606639,3,13,3,1,73,70.1,4,1,2,4,1
"10510",1978,27,2,1,3,25606.711986722,3,12,2,1,62,50.4,2,2,1,4,2
"10512",1978,33,1,1,3,63120.2648863071,1,12,2,1,63,63.1,2,1,1,4,1
"10516",1978,53,2,0,3,2026.49762987552,1,11,2,1,48,24.2,2,3,2,4,2
"10517",1978,24,2,3,2,9899.35483566573,1,16,3,1,64,82.5,3,2,2,4,2
"10521",1978,68,2,0,3,9259.31981576764,1,7,2,2,25,12.6,3,1,2,4,1
"10524",1978,20,2,1,3,30280.7307136929,5,13,2,1,47,38.8,3,3,2,3,1
"10526",1978,19,2,1,3,9259.31981576764,5,12,3,1,18,30.3,2,2,1,4,2
"10528",1978,41,1,1,2,67483.3477904838,3,12,2,1,36,20.5,3,2,2,3,2
"10529",1978,28,2,1,3,76969.555140249,5,12,3,1,53,64.2,4,1,2,4,2
"10530",1978,30,2,1,3,42052.1604946058,1,13,3,1,37,35.1,4,2,2,4,1
"10531",1978,32,1,1,3,110897.047717842,3,14,3,1,50,68.6,4,3,2,4,2
"10532",1978,26,2,3,3,52478.8176547718,5,16,3,1,46,52,4,1,2,4,1
"10533",1978,32,1,1,3,52478.8176547718,1,13,2,1,63,63.1,3,2,2,4,3
"10534",1978,28,2,3,3,42052.1604946058,1,16,2,1,61,71.7,3,2,2,1,3
"10535",1978,27,1,1,3,30280.7307136929,1,14,2,1,62,50.4,2,2,1,4,2
"10536",1978,29,1,1,3,63120.2648863071,1,12,2,1,35,32,3,2,1,3,2
"10537",1978,31,1,4,3,42052.1604946058,1,18,3,2,72,86.6,3,3,1,4,1
"10538",1978,60,1,0,3,52478.8176547718,3,10,3,1,35,32,2,3,2,4,3
"10541",1978,58,2,1,3,63120.2648863071,2,12,3,1,47,38.8,4,2,2,4,3
"10542",1978,48,1,4,3,63120.2648863071,1,19,3,1,66,62.6,3,1,2,4,2
"10543",1978,27,1,1,3,76969.555140249,1,12,3,1,33,46.2,4,1,2,4,3
"10544",1978,28,1,1,3,25606.711986722,1,12,2,1,21,13.6,3,2,2,3,2
"10545",1978,21,2,1,3,21026.0802473029,5,14,3,1,21,14,3,2,2,4,1
"10546",1978,26,1,0,3,99223.6742738589,1,9,3,1,49,45.4,4,1,1,4,2
"10548",1978,19,1,0,3,2026.49762987552,5,11,2,1,20,10.6,3,1,2,4,3
"10550",1978,46,1,3,2,179526.272617353,1,16,3,1,45,62,4,2,2,4,2
"10552",1978,63,1,1,3,110897.047717842,1,12,2,1,40,38.3,4,1,2,4,3
"10555",1978,28,2,1,3,30280.7307136929,5,12,2,1,32,35.8,3,2,1,3,2
"10567",1978,30,1,1,3,86224.205606639,1,14,3,1,48,57.5,4,1,1,4,2
"10568",1978,31,1,1,3,110897.047717842,1,12,2,1,50,46.5,3,1,2,3,2
"10570",1978,41,1,1,3,35052.8057775934,5,12,2,1,28,21.6,3,2,2,4,2
"10571",1978,33,1,1,2,118562.620951619,5,13,2,1,60,65.3,4,2,2,4,3
"10572",1978,40,2,1,3,42052.1604946058,1,12,2,1,48,24.2,3,2,2,4,3
"10575",1978,45,1,0,3,167919.142317012,1,9,2,1,33,46.6,4,1,1,4,2
"10577",1978,39,2,1,3,30280.7307136929,1,12,3,1,35,26.8,3,2,2,4,3
"10581",1978,42,1,1,4,99223.6742738589,1,12,2,1,35,32,3,2,2,4,3
"10584",1978,26,1,1,4,63120.2648863071,1,13,2,1,42,37,3,2,2,4,1
"10585",1978,23,2,1,4,42052.1604946058,1,12,2,1,45,38.3,3,2,1,4,2
"10586",1978,29,1,1,4,63120.2648863071,1,10,2,1,50,46.5,4,2,2,4,3
"10587",1978,18,2,0,4,9259.31981576764,5,11,3,1,33,13.6,3,2,1,4,2
"10588",1978,59,2,1,4,42052.1604946058,5,12,2,1,45,38.3,2,2,2,4,3
"10589",1978,35,2,3,4,86224.205606639,3,18,3,1,45,62,4,1,1,4,1
"10590",1978,32,2,3,4,21026.0802473029,5,16,3,1,38,59.1,4,2,1,4,2
"10591",1978,37,2,1,4,52478.8176547718,5,12,3,1,46,52,3,1,2,4,2
"10594",1978,43,1,3,4,494395.381448963,1,16,3,1,72,77.4,4,2,2,4,1
"10598",1978,44,1,3,4,167919.142317012,1,16,4,1,39,67.7,4,1,2,4,1
"10599",1978,52,1,4,4,167919.142317012,1,20,3,1,51,78.3,4,3,2,4,2
"10600",1978,60,1,3,4,110897.047717842,1,16,3,1,51,86.5,4,2,1,4,3
"10602",1978,30,1,0,4,52478.8176547718,1,11,2,1,45,31.2,2,2,1,4,2
"10603",1978,22,1,1,4,25606.711986722,1,13,2,1,49,45.4,2,1,1,3,1
"10604",1978,24,2,1,2,17457.4099144342,5,12,3,1,37,35.1,3,3,1,4,3
"10607",1978,30,2,4,4,52478.8176547718,1,19,3,1,47,38.8,4,2,1,4,3
"10608",1978,28,1,4,4,76969.555140249,1,19,3,1,69,91.1,3,2,1,4,2
"10610",1978,38,1,3,4,167919.142317012,1,16,3,1,45,62,4,2,2,3,2
"10612",1978,37,2,1,4,16328.714773444,1,12,3,1,38,25.7,4,2,2,3,3
"13933",1983,47,1,1,1,138279.332006195,1,14,3,1,47,50,5,1,2,4,1
"13934",1983,25,2,1,2,43982.5884719938,5,12,2,1,47,38.8,4,3,1,4,1
"13936",1983,64,1,1,2,69139.6660030973,1,12,2,1,49,45.4,3,2,2,4,3
"13938",1983,58,1,1,1,97608.9402396667,1,13,3,1,44,77.9,4,1,2,4,2
"13940",1983,38,1,1,1,60081.5563488562,1,14,2,1,74,84.5,3,2,2,4,3
"13941",1983,46,1,1,1,344497.740050539,3,12,3,1,38,27,3,1,2,4,3
"13943",1983,54,1,4,1,138279.332006195,1,20,4,1,60,76.3,4,3,2,4,1
"13951",1983,42,1,2,2,138279.332006195,1,14,3,1,62,89.1,4,1,2,4,1
"13953",1983,60,1,0,2,53632.8590303556,1,8,3,1,47,38.8,3,2,2,2,3
"13955",1983,59,1,1,2,6451.95094984197,1,12,2,1,60,76.3,1,3,1,4,1
"13958",1983,28,1,1,2,77273.7443564029,1,12,2,1,35,32,3,2,2,3,3
"13961",1983,52,1,1,2,344497.740050539,1,13,3,1,53,73.9,3,2,2,4,2
"13964",1983,53,1,3,2,138279.332006195,1,17,3,1,65,80.7,4,2,2,4,1
"13966",1983,39,1,0,2,29302.203859948,1,8,2,1,35,32,3,3,1,1,3
"13967",1983,28,1,3,2,69139.6660030973,5,16,3,1,46,52,3,3,1,3,3
"13969",1983,35,1,2,1,60081.5563488562,1,14,3,1,64,82.5,4,2,2,4,1
"13971",1983,48,2,1,1,36567.5626451205,5,12,2,1,35,25,2,3,1,3,3
"13973",1983,34,1,1,1,60081.5563488562,1,12,2,1,48,57.5,3,3,1,4,3
"13977",1983,44,1,2,1,97608.9402396667,1,14,3,1,39,60.3,4,2,2,4,3
"13984",1983,56,1,0,1,69139.6660030973,4,8,3,1,42,31,3,1,1,1,2
"13986",1983,37,1,3,1,97608.9402396667,1,16,2,1,58,73.5,3,2,2,4,3
"13987",1983,40,1,3,1,97608.9402396667,1,17,3,1,60,76.3,3,2,2,3,3
"13992",1983,50,1,1,3,87233.5813953488,1,15,2,1,33,46.6,4,2,2,4,3
"14006",1983,38,1,1,3,53695.1771348837,1,12,2,1,28,25.2,2,3,1,3,3
"14010",1983,35,2,1,2,53632.8590303556,5,13,2,1,47,38.8,2,3,2,1,3
"14011",1983,33,2,1,3,21828.7498511628,1,12,3,1,43,35.5,3,1,1,1,3
"14013",1983,26,2,1,4,21828.7498511628,5,12,2,1,31,19.6,2,2,1,3,2
"14020",1983,28,2,1,4,5766.13973023256,1,12,2,1,25,23.8,3,2,2,4,1
