"","YEAR","AGE","SEX","DEGREE","REGION","PersIncomeAdj","MARITAL","EDUC","CLASS_","BORN","PRESTG10","SEI10","FINRELA","SATFIN","UNEMP","JOBLOSE","JobFind"
"7616",1977,50,2,1,2,47504.1502357415,1,13,3,1,47,38.8,4,2,2,4,1
"7617",1977,43,1,1,5,123785.420353982,1,14,3,1,72,77.4,3,2,2,4,1
"7620",1977,27,1,1,5,70456.0552566372,1,12,2,1,28,25.2,3,2,2,4,2
"7621",1977,26,2,3,5,23469.715699115,1,16,3,1,31,39.7,3,1,1,4,1
"7622",1977,26,1,3,5,58577.866920354,1,17,3,1,64,82.5,4,1,2,4,1
"7623",1977,49,1,1,5,110755.376106195,1,15,3,1,62,50.4,4,2,2,4,1
"7624",1977,24,2,1,5,23469.715699115,5,12,2,1,31,39.7,2,1,2,3,3
"7625",1977,39,1,3,5,85914.8997522124,1,16,2,1,64,82.5,3,2,2,4,2
"7628",1977,36,1,1,5,96245.1188318584,1,13,2,1,63,63.1,4,2,2,4,2
"7629",1977,49,2,3,5,46939.4313982301,1,16,2,1,17,45.3,4,3,2,4,2
"7630",1977,30,1,0,5,70456.0552566372,1,6,2,1,33,27.6,3,3,1,4,3
"7635",1977,25,2,1,5,28582.7050619469,1,13,3,1,47,38.8,3,1,2,3,1
"7639",1977,59,2,0,5,39126.6168672566,1,8,2,1,42,26.5,1,3,2,4,1
"7640",1977,26,2,1,5,33799.9347787611,1,15,3,1,47,65.3,2,2,2,4,2
"7641",1977,38,2,0,5,18226.4258938053,3,6,2,1,48,24.2,2,3,2,4,2
"7646",1977,43,1,0,5,18226.4258938053,1,9,2,1,27,14,2,2,2,3,3
"7657",1977,34,2,3,6,58577.866920354,1,16,2,1,61,80.9,3,1,2,4,3
"7661",1977,30,2,1,6,33799.9347787611,1,12,2,1,32,13.2,3,2,2,4,2
"7663",1977,21,2,1,6,10335.4310973451,5,12,2,1,47,47.9,2,1,2,1,3
"7664",1977,31,2,1,6,10335.4310973451,3,12,2,1,24,20.7,2,1,1,4,3
"7667",1977,53,2,0,6,23469.715699115,1,5,2,1,33,13.6,2,1,1,4,1
"7668",1977,42,1,0,6,18226.4258938053,1,5,2,1,28,25.2,5,3,2,3,1
"7669",1977,57,2,1,6,28582.7050619469,1,12,3,1,40,33.4,3,1,2,4,3
"7671",1977,22,2,1,2,28926.5778250951,5,12,2,1,27,12.7,3,2,2,2,2
"7673",1977,26,2,1,6,23469.715699115,1,13,2,1,47,38.8,3,1,1,4,2
"7674",1977,50,1,1,6,46939.4313982301,1,12,2,1,25,23.3,1,3,2,3,1
"7678",1977,32,2,1,7,58577.866920354,3,12,2,1,31,12.4,3,2,1,2,3
"7680",1977,26,2,3,7,85914.8997522124,5,16,2,1,61,80.9,3,2,2,3,1
"7681",1977,33,2,0,7,33799.9347787611,4,11,2,1,33,13.6,3,2,2,3,2
"7683",1977,54,2,0,2,18445.7043498099,2,10,2,1,22,14.8,1,3,1,3,2
"7684",1977,47,1,0,7,46939.4313982301,1,7,2,1,36,30.8,3,2,2,2,2
"7689",1977,46,1,4,7,85914.8997522124,1,20,3,1,64,82.5,2,2,2,4,1
"7690",1977,48,1,4,7,58577.866920354,1,19,3,1,64,82.5,3,2,2,3,1
"7691",1977,26,1,1,7,33799.9347787611,5,14,2,1,46,39.9,3,1,1,4,3
"7694",1977,47,2,0,2,2289.22953612167,1,8,3,1,31,19.6,3,2,2,1,1
"7696",1977,22,1,0,7,46939.4313982301,1,11,2,1,38,28.4,3,2,2,1,2
"7699",1977,59,1,3,7,110755.376106195,1,17,3,1,59,75.5,4,2,2,4,3
"7702",1977,47,1,0,7,58577.866920354,1,12,3,1,47,57.8,4,3,2,4,1
"7705",1977,60,1,0,2,47504.1502357415,1,10,2,1,45,31.2,3,2,2,4,3
"7708",1977,38,1,0,7,58577.866920354,1,12,3,1,45,31.2,3,1,2,4,1
"7711",1977,30,1,1,7,10335.4310973451,1,14,2,1,43,36.2,3,2,2,3,1
"7712",1977,35,1,1,7,85914.8997522124,5,12,2,1,40,38.3,4,2,2,4,2
"7716",1977,34,2,1,2,2289.22953612167,1,12,3,1,45,19.7,3,1,1,3,1
"7717",1977,30,2,0,7,18226.4258938053,1,7,3,1,26,15.8,3,2,1,4,3
"7718",1977,64,2,1,7,28582.7050619469,2,11,2,1,48,24.2,3,1,2,3,3
"7720",1977,24,1,1,7,70456.0552566372,1,12,3,1,53,73.9,3,2,2,4,1
"7721",1977,39,2,1,7,10335.4310973451,4,12,2,2,24,14.6,2,3,2,4,1
"7725",1977,34,1,1,7,46939.4313982301,1,14,2,1,45,31.2,2,3,1,4,1
"7727",1977,20,1,1,2,34206.5749809886,5,12,2,1,47,47.9,3,2,2,4,2
"7728",1977,25,1,3,7,46939.4313982301,1,16,2,1,62,50.4,2,2,2,4,1
"7731",1977,67,1,1,7,70456.0552566372,1,12,3,1,58,67.7,4,1,2,4,1
"7732",1977,50,1,0,7,10335.4310973451,1,6,2,1,25,23.3,2,3,1,3,3
"7735",1977,36,2,1,7,46939.4313982301,1,13,2,1,17,45.3,3,3,2,3,2
"7738",1977,47,2,1,2,59282.6054296578,1,12,2,1,64,84.2,3,2,2,4,2
"7746",1977,52,2,1,8,106006.996920607,3,14,3,1,60,41.4,3,2,2,4,1
"7750",1977,57,2,1,8,37228.1693398751,2,12,2,1,47,38.8,3,2,2,4,2
"7754",1977,19,2,1,9,31481.7703407672,1,12,2,1,47,38.8,3,2,1,4,2
"7755",1977,50,1,1,9,51700.3690169492,1,12,2,1,44,28.7,3,1,1,3,1
"7758",1977,45,1,0,9,64519.2590918822,1,8,2,1,45,31.2,2,2,2,3,2
"7764",1977,38,2,1,9,20075.0822176628,5,13,2,2,35,21.8,3,2,2,4,3
"7765",1977,55,2,3,9,64519.2590918822,5,16,3,1,47,38.8,3,1,2,4,2
"7766",1977,58,2,0,9,51700.3690169492,2,10,2,1,47,57.8,2,3,2,4,3
"7767",1977,23,1,1,9,43095.1221641392,5,12,2,2,33,13.6,2,3,1,2,2
"7768",1977,20,2,1,9,11383.7254897413,5,12,3,1,39,41,4,1,2,4,1
"7774",1977,25,2,4,9,25850.1845084746,5,18,3,1,48,26.1,3,3,1,3,2
"7775",1977,67,1,1,9,206445.555250669,1,13,3,2,46,74.6,4,2,2,4,3
"7778",1977,65,2,1,9,64519.2590918822,2,14,2,1,64,84.2,3,1,2,4,1
"7781",1977,39,2,1,9,25850.1845084746,1,12,2,1,48,24.2,2,2,2,3,1
"7783",1977,33,1,1,9,106006.996920607,1,16,2,1,36,31.1,4,2,1,3,3
"7786",1977,36,1,4,9,121988.989741302,5,18,3,1,73,86.5,4,1,1,4,2
"7790",1977,31,2,1,9,77602.2194504906,1,14,3,1,65,80.7,4,2,2,3,3
"7792",1977,64,1,4,9,11383.7254897413,1,16,3,1,60,76.3,4,1,2,1,1
"7793",1977,36,1,1,1,97403.0244562738,1,13,3,1,50,46.5,3,3,2,4,3
"7796",1977,59,1,4,9,206445.555250669,1,17,3,1,66,92,4,2,2,4,3
