PlayerNumber	 Age 	 FedExCupPoints 	 Money 	 Round1Score 	 Round2Score 	 Round3Score 	 Round4Score 	 TotalStrokes 	 AverageDrive 	Drive_rank	 Percent_Birdie_when_GIR 	 Percent_Fairways 	 Percent_GIR 	 Putt_round 	 Percent_10foot 	 Percent_Outside10 
26951	31	32.07	"40,900.04"	71	70	72.43	70	283.43	276.16	184	0.28	69.13	67.46	28.71	88.61	13.54
27060	31	29.5	"24,800.00"	67	71	67	73	278	272.39	213	0.27	58.93	58.33	27.75	84.62	12.12
27064	26	50.84	"87,805.62"	70.71	70.71	71	69.86	282.29	290.23	28	0.3	48.72	67.66	31.15	86.06	15.8
27072	28	 -   	"163,812.50"	68.5	75	71	73	287.5	290.64	25.5	0.28	49.11	63.19	29.13	84.41	17.42
27095	29.44	133.87	"322,981.48"	67.67	68.89	69.89	69.11	275.56	288.01	49	0.36	61.11	70.37	32.4	89.41	19.12
27120	31	36.13	"47,939.51"	71.25	70.25	70.25	71.25	283	290.8	23	0.3	55.25	65.28	29.72	89.31	13.08
27141	28.36	46.94	"101,000.59"	69.91	69.36	70.82	71.55	281.64	304.73	1	0.35	52.85	67.05	32.57	87.05	13.46
27214	32	42.24	"80,752.57"	71.45	70.36	70.91	69.82	282.55	280.07	134	0.3	66.18	64.65	31.41	88.87	16.49
27302	32	24.5	"20,800.00"	67	74	73	74	288	282.07	113	0.28	44.64	55.56	28.75	89.33	12.5
27330	31.56	22.38	"36,030.74"	69.22	69.78	74.22	72.56	285.78	288.82	41	0.3	58.13	63.73	30.16	87.68	14.7
27408	26	 -   	"63,480.13"	67.75	70.75	72	72.25	282.75	282.53	109	0.33	55.98	67.01	28.81	89.3	13.15
27466	26.08	54.51	"100,075.10"	68.92	69.25	70.08	70.25	278.5	277.05	172	0.29	64.81	68.75	32.27	88.64	14.68
27649	30	132.69	"262,663.96"	69.88	67	68.88	68.88	274.63	281.39	118	0.39	61.21	63.37	28.4	89.88	24.08
27770	29	45.83	"69,118.50"	69.83	69.17	72.5	71.33	282.83	279.77	141	0.32	60.42	65.97	30.04	87.7	16.9
27797	30	39	"55,000.00"	72	76	78	70	296	289.31	36	0.28	71.67	75	33	80.72	10.2
27896	30	 -   	"27,692.33"	70	73	72.5	75	290.5	288.94	40	0.27	53.57	65.28	29.13	85.26	17.86
27933	28.67	45.25	"67,957.26"	69.5	68.67	70.67	69.83	278.67	276.45	180	0.3	69.58	68.29	33.88	88.59	19.14
27936	28	116.12	"239,861.76"	68.78	70	68.67	70.89	278.33	291.54	19	0.32	59.62	65.9	28.17	89.23	16.73
27939	29	16.5	"12,705.00"	68	69	71	74	282	274.71	198	0.28	41.07	59.72	28.5	88.41	20
27963	29	32.76	"63,693.26"	71	69.2	71.2	70.8	282.2	282.85	104	0.31	55.36	65.83	29.15	86.22	17.66
27974	23	12	"13,571.71"	66.5	73.5	75	73	288	287.01	59	0.29	54.12	61.11	48.5	82.58	13.33
27990	30	24.5	"20,800.00"	70	71	72	75	288	288.41	46	0.29	41.07	48.61	28.25	84.42	16.67
28087	38	29.4	"44,863.58"	69.29	70.86	72.57	71.57	284.29	274.57	199	0.29	60.12	62.1	32.36	85.85	13.78
